nx	ny	nz	n2x	n2y	n2z	class_view
c	c	c	c	c	c	d
0.040455	0.312247	-0.949139	-0.413703	-0.069322	-0.907769	robot
-0.019439	-0.118935	-0.992712	-0.299495	0.091464	-0.949704	robot
0.082319	0.127247	-0.988449	0.074655	-0.525922	-0.847250	robot
-0.583609	0.659744	-0.473433	-0.254865	-0.147825	-0.955611	robot
0.983593	-0.129485	-0.125611	-0.989155	-0.120439	-0.084070	robot
0.008904	0.353101	-0.935543	-0.396588	-0.084404	-0.914108	robot
0.026027	-0.036445	-0.998997	-0.254533	0.039580	-0.966254	eachother
-0.030265	-0.362956	-0.931315	0.748443	0.585806	-0.310907	robot
-0.583609	0.659744	-0.473433	-0.254865	-0.147825	-0.955611	robot
0.983593	-0.129485	-0.125611	-0.989155	-0.120439	-0.084070	robot
0.008904	0.353101	-0.935543	-0.396588	-0.084404	-0.914108	robot
0.023780	-0.053459	-0.998287	-0.258169	0.016614	-0.965957	robot
-0.030265	-0.362956	-0.931315	0.748443	0.585806	-0.310907	robot
-0.588374	0.659295	-0.468130	-0.244842	-0.147136	-0.958333	robot
0.983615	-0.129766	-0.125152	-0.989283	-0.119875	-0.083365	robot
0.008904	0.353101	-0.935543	-0.396588	-0.084404	-0.914108	robot
0.023780	-0.053459	-0.998287	-0.258169	0.016614	-0.965957	robot
-0.030265	-0.362956	-0.931315	0.748443	0.585806	-0.310907	eachother
-0.583609	0.659744	-0.473433	-0.254865	-0.147825	-0.955611	robot
0.983615	-0.129766	-0.125152	-0.989283	-0.119875	-0.083365	robot
0.011620	0.356750	-0.934127	-0.409173	-0.078126	-0.909106	robot
0.026027	-0.036445	-0.998997	-0.254533	0.039580	-0.966254	robot
-0.030265	-0.362956	-0.931315	0.748443	0.585806	-0.310907	robot
-0.588374	0.659295	-0.468130	-0.244842	-0.147136	-0.958333	robot
0.983593	-0.129485	-0.125611	-0.989155	-0.120439	-0.084070	robot
0.008671	0.343572	-0.939086	-0.408902	-0.061197	-0.910524	robot
0.030721	-0.037199	-0.998836	-0.245399	0.041298	-0.968542	robot
-0.030397	-0.350583	-0.936038	0.751099	0.588200	-0.299786	robot
-0.583609	0.659744	-0.473433	-0.254865	-0.147825	-0.955611	robot
0.983604	-0.129159	-0.125861	-0.989016	-0.120966	-0.084942	robot
0.008671	0.343572	-0.939086	-0.408902	-0.061197	-0.910524	robot
0.030721	-0.037199	-0.998836	-0.245399	0.041298	-0.968542	robot
-0.030397	-0.350583	-0.936038	0.751099	0.588200	-0.299786	robot
0.168890	0.447388	-0.878248	0.471919	0.145283	-0.869589	robot
-0.259994	-0.054868	-0.964050	0.022130	-0.886158	-0.462854	window
-0.972081	0.205230	-0.113751	0.479626	0.023168	-0.877167	window
-0.900181	0.391633	-0.190522	-0.486189	0.197326	-0.851283	window
-0.025260	-0.057411	-0.998031	0.461014	-0.745596	-0.481200	robot
